Timestamp,Q1. Select your Age ,  Q2. Current education level  ,  Q3. Average daily screen time (in hours)  ,  Q4. Average daily social media usage (hours)  ,  Q5. Average daily gaming time (hours)  , Q6. Do you use your phone before sleeping?  ,Q7. How many times do you check your phone per day?  , Q8. Average sleep duration per night  ,Q9. I use my smartphone longer than intended  ,Q10. I feel restless or anxious when I cannot use my phone  ,  Q11. My smartphone use affects my sleep  ,Q12. I find it difficult to reduce my smartphone usage  ,Q13. I miss important academic tasks due to smartphone use  ,Q14. I use my phone during study time  ,Q15. My academic performance has been affected by smartphone use  ,Q16. I feel distracted in class due to smartphone use  ,Q17. Current academic percentage / GPA  ,Q18. Average study time per day (excluding school hours)  ,Q19. Attendance percentage  ,Q20. How often do you have difficulty concentrating on studies?  ,Q21. Have your academic grades decreased in the past year?  
3/2/2026 21:20:50,15,Grade 10,Less than 2 hours,1–3 hours,None,Often,Less than 20,6–7 hours,2,1,4,2,2,3,3,1,80–90%,1–2 hours,Above 90%,2,Not sure
3/2/2026 21:26:22,19,First year college,6–8 hours,More than 5 hours,1–3 hours,Always,50–100,7–8 hours,5,4,3,4,5,5,4,5,80–90%,Less than 1 hour,75–90%,4,Not sure
3/2/2026 21:43:36,19,First year college,6–8 hours,More than 5 hours,None,Always,Less than 20,More than 8 hours,5,4,1,5,3,3,5,1,70–80%,More than 4 hours,75–90%,5,Yes
3/2/2026 21:48:01,15,Grade 10,Less than 2 hours,Less than 1 hour,Less than 1 hour,Often,20–50,6–7 hours,1,1,2,1,4,3,4,4,70–80%,More than 4 hours,75–90%,2,Not sure
3/2/2026 21:57:18,15,Grade 10,Less than 2 hours,Less than 1 hour,None,Sometimes,Less than 20,5–6 hours,4,5,5,5,4,3,2,1,Above 90%,More than 4 hours,Above 90%,3,No
3/2/2026 22:05:10,16,Grade 11,4–6 hours,3–5 hours,None,Always,20–50,5–6 hours,3,4,4,4,4,4,3,2,80–90%,1–2 hours,75–90%,2,No
3/2/2026 22:12:09,15,Grade 10,2–4 hours,1–3 hours,Less than 1 hour,Often,20–50,7–8 hours,2,1,2,4,5,4,4,2,80–90%,2–4 hours,Above 90%,3,Not sure
3/2/2026 22:24:22,16,First year college,4–6 hours,Less than 1 hour,Less than 1 hour,Always,20–50,6–7 hours,3,3,4,5,5,5,4,4,80–90%,Less than 1 hour,75–90%,4,No
3/2/2026 22:34:49,16,Grade 11,2–4 hours,Less than 1 hour,None,Sometimes,Less than 20,7–8 hours,3,2,2,2,2,2,3,2,70–80%,2–4 hours,Above 90%,2,Not sure
3/2/2026 22:34:58,,,,,,,,,,,,,,,,,,,,,
3/3/2026 6:56:33,17,Grade 12,Less than 2 hours,1–3 hours,None,Sometimes,20–50,6–7 hours,3,2,2,2,4,2,3,1,70–80%,2–4 hours,75–90%,2,Yes
3/3/2026 7:09:11,15,Grade 10,4–6 hours,1–3 hours,None,Often,20–50,6–7 hours,4,3,4,4,4,4,5,1,70–80%,Less than 1 hour,60–75%,4,No
